DATE,RSAFSNA
1/1/1992,146376
2/1/1992,147079
3/1/1992,159336
4/1/1992,163669
5/1/1992,170068
6/1/1992,168663
7/1/1992,169890
8/1/1992,170364
9/1/1992,164617
10/1/1992,173655
11/1/1992,171547
12/1/1992,208838
1/1/1993,153221
2/1/1993,150087
3/1/1993,170439
4/1/1993,176456
5/1/1993,182231
6/1/1993,181535
7/1/1993,183682
8/1/1993,183318
9/1/1993,177406
10/1/1993,182737
11/1/1993,187443
12/1/1993,224540
1/1/1994,161349
2/1/1994,162841
3/1/1994,192319
4/1/1994,189569
5/1/1994,194927
6/1/1994,197946
7/1/1994,193355
8/1/1994,202388
9/1/1994,193954
10/1/1994,197956
11/1/1994,202520
12/1/1994,241111
1/1/1995,175344
2/1/1995,172138
3/1/1995,201279
4/1/1995,196039
5/1/1995,210478
6/1/1995,211844
7/1/1995,203411
8/1/1995,214248
9/1/1995,202122
10/1/1995,204044
11/1/1995,212190
12/1/1995,247491
1/1/1996,185019
2/1/1996,192380
3/1/1996,212110
4/1/1996,211718
5/1/1996,226936
6/1/1996,217511
7/1/1996,218111
8/1/1996,226062
9/1/1996,209250
10/1/1996,222663
11/1/1996,223953
12/1/1996,258081
1/1/1997,200389
2/1/1997,197556
3/1/1997,225133
4/1/1997,220329
5/1/1997,234190
6/1/1997,227365
7/1/1997,231521
8/1/1997,235252
9/1/1997,222807
10/1/1997,232251
11/1/1997,228284
12/1/1997,271054
1/1/1998,207853
2/1/1998,203863
3/1/1998,230313
4/1/1998,234503
5/1/1998,245027
6/1/1998,244067
7/1/1998,241431
8/1/1998,240462
9/1/1998,231243
10/1/1998,244234
11/1/1998,240991
12/1/1998,288969
1/1/1999,218126
2/1/1999,220650
3/1/1999,253550
4/1/1999,250783
5/1/1999,262113
6/1/1999,260918
7/1/1999,262051
8/1/1999,265089
9/1/1999,253905
10/1/1999,258040
11/1/1999,264106
12/1/1999,317659
1/1/2000,236422
2/1/2000,250580
3/1/2000,279515
4/1/2000,264417
5/1/2000,283706
6/1/2000,281288
7/1/2000,271146
8/1/2000,283944
9/1/2000,269155
10/1/2000,270899
11/1/2000,276507
12/1/2000,319958
1/1/2001,250746
2/1/2001,247772
3/1/2001,280449
4/1/2001,274925
5/1/2001,296013
6/1/2001,287881
7/1/2001,279098
8/1/2001,294763
9/1/2001,261924
10/1/2001,291596
11/1/2001,287537
12/1/2001,326202
1/1/2002,255598
2/1/2002,253086
3/1/2002,285261
4/1/2002,284747
5/1/2002,300402
6/1/2002,288854
7/1/2002,295433
8/1/2002,307256
9/1/2002,273189
10/1/2002,287540
11/1/2002,290705
12/1/2002,337006
1/1/2003,268328
2/1/2003,259051
3/1/2003,293693
4/1/2003,294251
5/1/2003,312389
6/1/2003,300998
7/1/2003,309923
8/1/2003,317056
9/1/2003,293890
10/1/2003,304036
11/1/2003,301265
12/1/2003,357577
1/1/2004,281460
2/1/2004,282444
3/1/2004,319077
4/1/2004,315191
5/1/2004,328408
6/1/2004,321044
7/1/2004,328000
8/1/2004,326317
9/1/2004,313524
10/1/2004,319726
11/1/2004,324259
12/1/2004,387155
1/1/2005,293261
2/1/2005,295062
3/1/2005,339141
4/1/2005,335632
5/1/2005,345348
6/1/2005,350945
7/1/2005,351827
8/1/2005,355701
9/1/2005,333289
10/1/2005,336134
11/1/2005,343798
12/1/2005,405608
1/1/2006,318546
2/1/2006,314051
3/1/2006,361993
4/1/2006,351667
5/1/2006,373560
6/1/2006,366615
7/1/2006,362203
8/1/2006,375795
9/1/2006,346214
10/1/2006,348796
11/1/2006,356928
12/1/2006,417991
1/1/2007,328877
2/1/2007,323162
3/1/2007,374142
4/1/2007,358535
5/1/2007,391512
6/1/2007,376639
7/1/2007,372354
8/1/2007,388016
9/1/2007,353936
10/1/2007,368681
11/1/2007,377802
12/1/2007,426077
1/1/2008,342687
2/1/2008,343938
3/1/2008,372919
4/1/2008,368908
5/1/2008,397955
6/1/2008,378466
7/1/2008,383674
8/1/2008,382828
9/1/2008,350543
10/1/2008,349863
11/1/2008,335542
12/1/2008,384257
1/1/2009,310255
2/1/2009,299470
3/1/2009,328547
4/1/2009,329838
5/1/2009,347736
6/1/2009,344403
7/1/2009,348071
8/1/2009,353431
9/1/2009,324648
10/1/2009,338580
11/1/2009,339316
12/1/2009,400181
1/1/2010,314572
2/1/2010,310958
3/1/2010,360737
4/1/2010,356370
5/1/2010,365626
6/1/2010,358595
7/1/2010,361949
8/1/2010,362605
9/1/2010,345999
10/1/2010,355165
11/1/2010,365773
12/1/2010,426619
1/1/2011,335630
2/1/2011,337389
3/1/2011,387151
4/1/2011,380830
5/1/2011,392055
6/1/2011,388726
7/1/2011,384702
8/1/2011,394640
9/1/2011,374978
10/1/2011,379430
11/1/2011,391108
12/1/2011,451663
1/1/2012,355073
2/1/2012,372517
3/1/2012,414269
4/1/2012,393009
5/1/2012,418629
6/1/2012,400975
7/1/2012,396005
8/1/2012,417898
9/1/2012,385590
10/1/2012,399358
11/1/2012,411028
12/1/2012,462039
1/1/2013,375578
2/1/2013,373974
3/1/2013,421728
4/1/2013,408519
5/1/2013,437104
6/1/2013,414828
7/1/2013,422448
8/1/2013,435053
9/1/2013,396255
10/1/2013,415761
11/1/2013,423573
12/1/2013,476942
1/1/2014,383396
2/1/2014,380267
3/1/2014,432879
4/1/2014,431569
5/1/2014,459028
6/1/2014,433358
7/1/2014,443331
8/1/2014,451369
9/1/2014,421367
10/1/2014,438376
11/1/2014,438675
12/1/2014,502041
1/1/2015,398163
2/1/2015,388155
3/1/2015,446027
4/1/2015,439653
5/1/2015,464454
6/1/2015,449893
7/1/2015,459646
8/1/2015,457996
9/1/2015,432978
10/1/2015,446815
11/1/2015,446500
12/1/2015,520228
1/1/2016,402645
2/1/2016,416044
3/1/2016,461954
4/1/2016,452609
5/1/2016,471434
6/1/2016,465901
7/1/2016,463245
8/1/2016,473169
9/1/2016,449948
10/1/2016,454601
11/1/2016,469324
12/1/2016,542055
1/1/2017,423111
2/1/2017,420352
3/1/2017,484550
4/1/2017,467675
5/1/2017,497070
6/1/2017,483261
7/1/2017,476896
8/1/2017,491572
9/1/2017,468192
